,dist_asec,comp_ampl,id_strip_w_planet,id_opposite_to_half_w_planet,D_strip_w_planets_rel_to_same_half_strip_wo_planet,D_strip_w_planets_rel_to_other_half_same_strip_with_planet,D_strip_w_planets_rel_to_strip_0,D_strip_w_planets_rel_to_strip_1,D_strip_w_planets_rel_to_strip_2,D_strip_w_planets_rel_to_strip_3,D_strip_w_planets_rel_to_strip_4,val_crit_strip_w_planets_rel_to_strip_0,val_crit_strip_w_planets_rel_to_strip_1,val_crit_strip_w_planets_rel_to_strip_2,val_crit_strip_w_planets_rel_to_strip_3,val_crit_strip_w_planets_rel_to_strip_4
0,0.01040896,0.005,strip_1V_S,strip_1V_N,0.04,0.14,0.18,0.0,0.12,0.1,0.2,0.2716,0.2716,0.2716,0.2716,0.2716
1,0.04163584,0.005,strip_1V_S,strip_1V_N,0.08,0.16,0.18,0.0,0.14,0.1,0.2,0.2716,0.2716,0.2716,0.2716,0.2716
2,0.07286271999999999,0.005,strip_1V_S,strip_1V_N,0.12,0.2,0.18,0.0,0.14,0.12,0.2,0.2716,0.2716,0.2716,0.2716,0.2716
3,0.10408959999999999,0.005,strip_1V_S,strip_1V_N,0.16,0.18,0.18,0.0,0.1,0.16,0.2,0.2716,0.2716,0.2716,0.2716,0.2716
4,0.13531648,0.005,strip_1V_S,strip_1V_N,0.18,0.16,0.1,0.0,0.08,0.12,0.16,0.2716,0.2716,0.2716,0.2716,0.2716
5,0.17695231999999997,0.005,strip_1V_S,strip_1V_N,0.26,0.24,0.16,0.0,0.08,0.16,0.24,0.2716,0.2716,0.2716,0.2716,0.2716
6,0.20817919999999998,0.005,strip_1V_S,strip_1V_N,0.24,0.32,0.2,0.0,0.08,0.18,0.28,0.2716,0.2716,0.2716,0.2716,0.2716
7,0.23940607999999997,0.005,strip_1V_S,strip_1V_N,0.26,0.4,0.26,0.0,0.12,0.18,0.28,0.2716,0.2716,0.2716,0.2716,0.2716
8,0.27063296,0.005,strip_1V_S,strip_1V_N,0.32,0.44,0.34,0.0,0.08,0.2,0.32,0.2716,0.2716,0.2716,0.2716,0.2716
9,0.30185984,0.005,strip_1V_S,strip_1V_N,0.38,0.48,0.38,0.0,0.1,0.24,0.34,0.2716,0.2716,0.2716,0.2716,0.2716
10,0.33308672,0.005,strip_1V_S,strip_1V_N,0.42,0.48,0.36,0.0,0.1,0.3,0.34,0.2716,0.2716,0.2716,0.2716,0.2716
11,0.41635839999999996,0.005,strip_1V_S,strip_1V_N,0.52,0.58,0.42,0.0,0.12,0.34,0.4,0.2716,0.2716,0.2716,0.2716,0.2716
