,max_strip,med_strip,x_pix,y_integ
0,138828668970.5122,138527290178.364,0,5302962860109.552
1,139165344257.3727,138862507151.7962,1,5316763878701.465
2,140168587835.82465,139861940192.70825,2,5358018924465.071
3,141818971415.0923,141506802714.47095,3,5426352911047.708
4,144086950763.0949,143768416849.3571,4,5522334317366.155
5,146936388300.8615,146611528589.31625,5,5644917945554.483
6,150328213424.9581,149997758387.67096,6,5795618448295.707
7,154223345231.8859,153888060863.0882,7,5973562371428.856
8,158584199988.77148,158245145125.18195,8,6177787474216.523
9,163374471449.97452,163032279459.04855,9,6409655860374.682
10,168557315906.59927,168211893442.98038,10,6666633306402.288
11,174092486336.98297,173742904749.3521,11,6948345051340.959
12,179933237734.66827,179577848194.89407,12,7253548158043.247
13,186023896648.87558,185660343098.71738,13,7579356072362.725
14,192298831564.01288,191925177040.78073,14,7923717705935.6455
15,198683215032.18536,198298078699.0201,15,8284929079005.952
16,205095521198.90967,204698407762.57205,16,8658138969397.797
17,211451267685.8635,211042704884.69672,17,9032823812779.94
18,217667199086.05377,217248646615.8402,18,9404548089560.762
19,223664999088.70575,223238245743.5081,19,9769474549196.719
20,229373737233.64337,228941144997.85217,20,10122804026843.758
21,234730575329.76602,234294281756.3557,21,10461459176572.26
22,239679698612.58447,239241188391.3001,22,10781409702449.572
23,244169887461.38748,243729739827.8819,23,11079483892260.07
24,248151492079.65225,247709371443.13596,24,11351467979604.508
25,251573724648.06265,251128320453.50043,25,11594320356467.242
26,254383099614.81677,253933249724.95486,26,11805024376397.727
27,256523552674.2241,256068448233.85217,27,11980461645654.357
28,257938329393.57764,257477963754.3207,28,12117686544039.863
29,258573269387.6768,258108713392.7027,29,12214325048435.164
30,258380742477.4843,257914170109.0895,30,12268223494458.205
31,257323315731.41794,256857462067.4397,31,12279056136361.121
32,255376291362.64374,254914680858.3178,32,12244899333253.77
33,252528540202.44464,252074595725.10458,33,12164934005066.27
34,248781490740.42795,248337954853.36118,34,12038899551371.012
35,244146606112.77567,243715117896.31958,35,11867447513927.229
36,238642065875.9625,238223004424.39734,36,11650028099553.445
37,232289562030.49832,231881901997.58725,37,11387352163073.465
38,225112065618.42676,224714503355.8279,38,11080304236979.613
39,217133133867.36636,216744384310.73178,39,10730342297682.418
40,208377885900.9751,207997290708.49146,40,10339137743486.602
41,198875299925.75586,198503288536.45197,41,9909346464306.91
42,188661109980.14032,188299388197.89105,42,9446205989821.9
43,177780412470.88763,177431515288.96582,43,8951296560901.41
44,166289181028.2265,165956698664.50778,44,8425572502756.105
45,154254209442.71277,153941792486.5005,45,7873025502326.9375
46,141751465735.5558,141462064321.35928,46,7297390326162.5625
47,128863310798.07823,128598536328.16145,47,6702554696837.269
48,115675370155.52115,115435147322.81625,48,6092531206566.771
49,102273938530.41542,102056246253.12415,49,5470584649248.055
50,88744603589.13446,88546599417.04541,50,4840035721503.939
51,75172343451.74605,74990780675.1248,51,4204314243975.061
52,61642808361.48833,61474861775.1928,52,3567065082458.3335
53,48244015176.341774,48088007131.04333,53,2942049322254.16
54,35067437108.8573,34923273629.152885,54,2440307836076.881
55,22207576348.222843,22076467709.853943,55,2117757966977.5874
56,9759588253.673044,9644320922.45748,56,2015188188489.9883
57,2566388716.917984,2281525946.148625,57,2279272042881.2275
58,13837211005.584772,13616815448.343397,58,2780667668131.0996
59,24444473403.38082,24292312166.19774,59,3260777097558.787
60,34337105297.598454,34250976858.203026,60,3709955617506.8994
61,43475192343.11625,43446262213.83828,61,4126142348392.646
62,51837933401.17031,51832582394.467674,62,4508631180100.611
63,59371585645.58652,59357636639.579445,63,4852282335010.8125
