,amplitude
0,4539.856979578814
1,-1393.5216948743669
2,-34010.74847669181
3,-12548.520766052552
4,-2696.132367682278
5,720.6067288678414
6,-12234.414617767878
7,5785.558532495892
8,-4029.400023495451
9,830.8465241601725
10,5647.449078961161
11,4797.602979179672
12,635.2143302033542
13,337.34174696535047
14,1868.026776070068
15,-557.0956932017361
16,-596.9741632616451
17,4487.7633330945455
18,-538.7847920638305
19,-717.1605054344636
20,-1928.5098948508366
21,1227.1581910552995
22,-165.7356414862934
23,1646.182065693365
24,2006.3033486742956
25,177.3944768371657
26,-548.8669914138536
27,-1249.559542341558
28,-894.8969267199118
29,332.92423980307467
30,-472.3952772721286
31,-1214.5324211519428
32,398.44689046489657
33,-717.5929945602056
34,1385.1428495253745
35,1046.292191465287
36,1562.5262439901649
37,-1549.563770306781
38,-154.9546934556488
39,849.8385843280757
40,-53.2955543476603
41,518.2160327280299
42,-223.69794021694224
43,157.20456299844113
44,-707.7349039435835
45,401.9839751886516
46,623.1033868896243
47,613.6990663881302
48,442.0370644292384
49,528.9045885621058
50,-133.98293149355982
51,-287.2996484659084
52,-91.08255636398644
53,-624.0283149403872
54,1.894950297435571
55,-454.6348955522826
56,452.6729983309601
57,110.03099609763149
58,-978.4102492143829
59,-807.2941200500213
60,982.595859909231
61,681.7015608304387
62,-130.99885355885158
63,710.5789233796013
64,405.90030267056545
65,-739.4015617056552
66,212.22965145623402
67,425.8447393330407
68,-684.7442126488231
69,712.2001729664516
70,556.6745088780126
71,-436.49098276230734
72,-936.4694734488044
73,-218.97497176999673
74,-217.24014594324865
75,-46.17432834573606
76,745.9509063204059
77,-25.718658471929302
78,317.8615000736319
79,-778.8971623673851
80,853.5798470176542
81,-84.1321419515848
82,257.6319698772113
83,485.97827189183954
84,-204.56228663154798
85,-691.4949499451332
86,130.92706457270106
87,991.589348723644
88,356.54800842841587
89,411.0465136728876
90,-718.7683780083416
91,287.6877747250628
92,515.6369452088252
93,-1131.7375134280487
94,-319.49146830248424
95,733.9467222344465
96,44.94848771202237
97,-521.5170520766274
98,-613.9932655605771
99,-445.5129018298403
-------------------
self.injection_iteration: 0
cube slice_num: 000999
self.fake_params: {'angle_deg_EofN': 0.0, 'rad_asec': 0.1, 'ampl_linear_norm': 1e-10, 'ampl_linear_norm_0': 1e-10, 'rad_pix': 9.345794392523365, 'x_pix_coord': 0.21719030853090382, 'y_pix_coord': 9.343270369479919}
self.n_PCA: 100
self.outdir: /vol_c/180507_fizeau_altair/pipeline_08a_hosts_removed_fake_psf_present/
self.abs_host_star_PCA_name: /vol_c/180507_fizeau_altair/bin/other_fits/pca_cubes_psfs/psf_PCA_vector_cookie_all_A_and_D_frames_pcaNum_100_host_resids.fits
self.abs_fake_planet_PCA_name: /vol_c/180507_fizeau_altair/bin/other_fits/pca_cubes_psfs/psf_PCA_vector_cookie_all_B_and_C_frames_pcaNum_100_host_resids.fits
self.abs_region_mask_name: /vol_c/180507_fizeau_altair/bin/other_fits/mask_406x406_rings_4quad_fits_complete.fits
mask slice num: 0070
