,0
0,7340562.715280833
1,7204166.975100444
2,6719686.145549727
3,6754203.117788245
4,7200673.313174726
5,6178969.383474869
6,6109174.0601539
7,5491797.032085816
8,5574516.714461535
9,7071951.4609443685
10,9070051.442063512
11,7162531.282261778
12,6999911.689948975
13,6145476.691159591
14,6528253.557517955
15,6399762.082488496
16,6808384.888209887
17,6362116.318215825
18,8008486.832986186
19,6198498.775792961
20,6597438.414060642
21,7231881.624365169
22,7340539.464593692
23,7124638.774007037
24,5935508.333960932
25,7388984.936176062
26,8312579.328478507
27,7783362.843974824
28,7627647.08513763
29,7431313.690056233
30,8473309.004467286
31,8176445.507076924
32,9681772.305050721
33,7389467.189407974
34,8621485.273098525
35,8813612.714102156
36,7693838.053010838
37,9607992.819387633
38,9178057.61680572
39,8239409.086860366
40,8376428.457611964
41,8813165.825772488
42,7608456.301544241
43,7157867.355330333
44,7357563.943853023
45,6975063.45261118
46,7508842.745929509
47,7623020.594696677
48,7358001.5232093455
49,7959808.448813259
50,7449802.433624316
51,8372685.099883053
52,7345148.038404234
53,5812626.824108695
54,8025400.2912836345
55,7598591.11040981
56,6429737.543849157
57,8161295.315183776
58,7110641.529872934
59,5964535.22264731
60,6552982.29499131
61,6992698.817393036
62,7230454.504735198
63,7742730.295375231
64,6352796.398860812
65,6308825.336219069
66,6572339.085622966
67,6391244.921906329
68,6479799.71287942
69,5954288.004735182
70,5435153.321959422
71,6310826.829257303
72,6280494.23905121
73,7793398.770203292
74,7576628.702807834
75,6668459.620556981
76,7109674.47317377
77,6055210.276909444
78,6579178.840755875
79,6982780.5255315
80,6874933.9277450135
81,6759160.67111041
82,6875289.272370468
83,6810878.102033489
84,6671492.728097202
85,6860826.089096512
86,6736825.964957858
87,6612661.10475095
88,7277904.239452706
89,7973831.937018373
90,6390012.672705431
91,6736915.649336717
92,8188079.9851185195
93,7457236.431457717
94,7137479.903989851
95,10235090.848068835
96,7891212.556950966
97,9674906.863372177
98,0.0
99,0.0
100,0.0
101,0.0
102,9882594.98095411
103,8832831.508909503
104,7689093.0777110895
105,10869409.685324939
106,9687706.497807736
107,8545692.585896073
108,11183830.456083696
109,11255805.800854748
110,9567376.276279222
111,10226116.988336453
112,9720481.254767384
113,9439006.808107955
114,9406169.044510834
115,10472448.447744995
116,9240085.628550101
117,10605906.1522075
118,8996134.222004503
119,8728308.590524482
120,8402274.36340097
121,8663110.647760166
122,9388816.287433347
123,8938462.629238246
124,9590906.211325683
125,8329206.864034833
126,7846406.388319817
127,8697433.138923364
128,9198852.924736131
129,10039893.074583583
130,7374304.002502536
131,10177345.067754313
132,10993201.236709327
133,8748604.39434237
134,10021724.708755137
135,17810698.666328996
136,9897003.429360151
137,16878376.9038998
138,18713448.55317684
139,16108522.22209588
140,19775363.821612664
141,20383997.649158005
142,22448983.52094156
143,21705925.261854164
144,37236853.86378138
145,35773242.018174924
146,25862170.952333104
147,60924015.23859708
148,40182750.76148258
149,79377939.61292209
150,92121071.75955826
151,89345959.80962278
152,149751725.6876687
153,116649891.15625519
154,306066644.232152
155,245427085.24862784
156,345133734.7639993
157,462981869.88506675
158,460007021.4964856
159,1658384834.4166555
160,1986537197.8861566
161,1658515039.3711505
162,460085579.63496363
163,463204614.344911
164,345405849.42754483
165,245582873.9395997
166,306451156.7117733
167,116923759.7134007
168,149803922.28148237
169,89220120.83115096
170,92256616.4378242
171,79975535.9170609
172,40670150.31180754
173,61078774.32194944
174,25721297.478135392
175,35766381.6346148
